quote,author,tags
"
      “Tell your heart that the fear of suffering is worse than the suffering itself. And that no heart has ever suffered when it goes in search of its dreams, because every second of the search is a second's encounter with God and with eternity.”
  ","
    Paulo Coelho,
  ","fear,suffering"
"
      “Say 'provoking' again. Your mouth looks provocative when you do.”
  ","
    Becca Fitzpatrick,
  ","fallen-anger,humor,nephlim,romance"
"
      “A cynic is a man who knows the price of everything, and the value of nothing.”
  ","
    Oscar Wilde
  ",cynicism
"
      “Don't part with your illusions. When they are gone you may still exist, but you have ceased to live.”
  ","
    Mark Twain
  ","illusions,life"
"
      “You might be poor, your shoes might be broken, but your mind is a palace.”
  ","
    Frank McCourt,
  ","intelligence,mind,poverty"
"
      “Life appears to me too short to be spent in nursing animosity or registering wrongs.”
  ","
    Charlotte Bronte,
  ",grudges
"
      “I'm not young enough to know everything.”
  ","
    J.M. Barrie,
  ",wisdom
"
      “We are cups, constantly and quietly being filled. The trick is, knowing how to tip ourselves over and let the beautiful stuff out.”
  ","
    Ray Bradbury
  ",
"
      “Of all the trees we could've hit, we had to get one that hits back.”
  ","
    J.K. Rowling,
  ","humor,trees"
"
      “That's why they call it the American Dream, because you have to be asleep to believe it.”
  ","
    George Carlin
  ","america,dream,funny,humor,wealth"
"
      “Live the Life of Your Dreams: Be brave enough to live the life of your dreams according to your vision and purpose instead of the expectations and opinions of others.”
  ","
    Roy T. Bennett,
  ","brave,courage,dreams,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,life,life-and-living,life-lessons,life-quotes,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking,purpose,vision"
"
      “I've found that there is always some beauty left -- in nature, sunshine, freedom, in yourself; these can all help you.”
  ","
    Anne Frank,
  ",
"
      “And he took her in his arms and kissed her under the sunlit sky, and he cared not that they stood high upon the walls in the sight of many.”
  ","
    J.R.R. Tolkien
  ","gondor,romance"
"
      “May the forces of evil become confused on the way to your house.”
  ","
    George Carlin
  ","benediction,evil,goodwill,humor,inspirational,wishes"
"
      “He was going to live forever, or die in the attempt.”
  ","
    Joseph Heller,
  ",
"
      “و كلما أمسكت بحالة من حالاتي و قلت هذا هو أنا .. ما تلبث هذه الحالة أن تفلت من أصابعي و تحل محلها حالة أخرى .. هي أنا .. أيضاً..”
  ","
    مصطفى محمود,
  ",
"
      “A child can teach an adult three things: to be happy for no reason, to always be busy with something, and to know how to demand with all his might that which he desires.”
  ","
    Paulo Coelho
  ",
"
      “Who in the world am I? Ah, that's the great puzzle.”
  ","
    Lewis Carroll ,
  ","alice-in-wonderland,introspection,self-discovery"
"
      “Open your heart. Someone will come. Someone will come for you. But first you must open your heart.”
  ","
    Kate DiCamillo,
  ",edward
"
      “Tact is the ability to tell someone to go to hell in such a way that they look forward to the trip.”
  ","
    Winston Churchill
  ",
"
      “I meant,"" said Ipslore bitterly, ""what is there in this world that truly makes living worthwhile?""","
    Terry Pratchett,
  ","cats,death,life"
"
      “Then the Grinch thought of something he hadn't before! What if Christmas, he thought, doesn't come from a store. What if Christmas...perhaps...means a little bit more!”
  ","
    Dr. Seuss,
  ",christmas
"
      “Did you know that 'I told you so' has a brother,Jacob?"" she asked cutting me off. ""His name is 'Shut the hell up'.”
  ","
    Stephenie Meyer,
  ","bella,jacob,meyer,quotes"
"
      “I am looking for friends. What does that mean -- tame?""","
    Antoine de Saint-Exupéry,
  ","friendship,wisdom"
"
      “Kindred spirits are not so scarce as I used to think. It's splendid to find out there are so many of them in the world.”
  ","
    L.M. Montgomery,
  ",
